City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Hotel Name
2,Faanui,-16.4833,-151.75,78.96,66,6,14.14,clear sky,Bora-Bora Pearl Beach Resort & Spa
13,Port Blair,11.6667,92.75,77.04,88,75,13.8,broken clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
15,Butaritari,3.0707,172.7902,81.75,77,30,7.83,light rain,Isles Sunset Lodge
16,Acapulco,16.8634,-99.8901,85.82,74,40,8.05,scattered clouds,HS Hotsson Smart Acapulco
21,Jacareacanga,-6.2222,-57.7528,85.03,34,100,1.43,overcast clouds,Casa do Ian😎
23,Esmeralda,21.8525,-78.1169,83.44,79,1,6.6,clear sky,Centro de Pioneros Exploradores
27,Padang,-0.9492,100.3543,75.25,83,87,2.77,overcast clouds,Mercure Padang
29,Atambua,-9.1061,124.8925,82.38,49,9,4.29,clear sky,Pastori 1 Jemaat Polycarpus
36,Tabuk,17.4189,121.4443,78.91,79,100,2.62,overcast clouds,Golden Berries Hotel and Convention
43,Tahta,26.7693,31.5021,84.31,24,0,4.72,clear sky,El Salam Hotel
44,Atuona,-9.8,-139.0333,75.7,77,75,10.69,light rain,Villa Enata
46,Dingle,10.9995,122.6711,84.54,73,57,5.44,broken clouds,SEGAYA PROPERTY
52,Kijang,35.2442,129.2139,80.33,81,100,9.46,light rain,Samyang Beach Villa
57,Madrid,40.4165,-3.7026,85.37,25,0,1.99,clear sky,Hotel Victoria 4
65,Dhola,21.8833,71.7833,81.52,70,100,9.75,overcast clouds,નિલેશ
70,Marion,39.7684,-86.1555,80.92,78,90,10.36,light rain,Hilton Garden Inn Indianapolis Downtown
72,Kavaratti,10.5669,72.642,81.81,77,100,17.31,overcast clouds,Hotels in Lakshadweep Islands
76,Kapaa,22.0752,-159.319,87.78,67,40,4.0,scattered clouds,Sheraton Kauai Coconut Beach Resort
78,Hithadhoo,-0.6,73.0833,80.33,76,100,9.78,overcast clouds,Scoop Guest House
79,Hobyo,5.3505,48.5268,75.92,87,75,20.0,broken clouds,Halane Hotel and Restaurent
80,Sao Filipe,14.8961,-24.4956,75.76,79,13,13.18,few clouds,Hotel Xaguate
82,Katobu,-4.9408,122.5276,80.47,81,99,9.04,overcast clouds,La Ode Husein
90,Hilo,19.7297,-155.09,83.93,74,20,10.36,few clouds,Hilo Hawaiian Hotel
95,Roma,43.2128,-75.4557,79.43,88,100,2.21,overcast clouds,Wingate By Wyndham Rome
96,Lorengau,-2.0226,147.2712,81.46,78,100,5.48,overcast clouds,Lorengau Harbourside Hotel
97,Port Antonio,18.18,-76.4612,82.31,84,14,9.57,few clouds,The Trident Hotel
104,Calvia,39.5657,2.5062,82.08,83,0,2.95,clear sky,Castell Son Claret
115,Kalmunai,7.4167,81.8167,79.74,82,100,7.43,overcast clouds,VS Villa
124,Bairiki,1.3292,172.9752,84.2,79,40,9.22,light intensity drizzle,Tarawa Boutique Hotel
125,Gambiran,-6.7988,111.4951,80.35,69,43,5.66,scattered clouds,GUBUK KU
128,Fortuna,40.5982,-124.1573,82.42,74,81,4.94,broken clouds,Super 8 by Wyndham Fortuna
129,Natal,-5.795,-35.2094,77.22,83,20,8.05,few clouds,Villa Park Hotel | Natal
131,Labuhan,-6.8844,112.2051,80.2,75,100,8.9,overcast clouds,PT PPI Lamongan Tambak C
144,Seoul,37.5683,126.9778,80.17,73,0,4.61,clear sky,롯데호텔 서울
147,Praia Da Vitoria,38.7333,-27.0667,75.45,83,40,24.25,scattered clouds,Hotel Branco I
149,Niscemi,37.1486,14.3913,80.98,58,0,4.12,clear sky,Casa P&G
151,Mackay,-21.15,149.2,76.05,78,7,18.41,clear sky,International Lodge Motel
153,Jamestown,42.097,-79.2353,78.39,88,90,8.05,overcast clouds,Hampton Inn & Suites Jamestown
154,Salalah,17.0151,54.0924,77.09,83,75,3.44,broken clouds,HAMDAN PLAZA HOTEL SALALAH
156,Urumqi,43.801,87.6005,77.95,36,100,6.71,overcast clouds,Hua Ling Grand Hotel Urumqi
159,Guerrero Negro,27.9769,-114.0611,83.35,65,8,14.12,clear sky,"Casa Laguna, Bed & Breakfast"
164,Aswan,24.0934,32.907,88.9,18,0,11.5,clear sky,Nuba Nile
165,Vaitape,-16.5167,-151.75,78.96,66,5,14.05,clear sky,Conrad Bora Bora Nui
166,Kieta,-6.2167,155.6333,82.92,74,55,7.36,light rain,Uruna Bay Retreat
168,Shenjiamen,29.9576,122.298,78.8,89,98,5.39,light rain,Jinjiang Inn Zhoushan Putuo Shenjiamen
176,Khandyga,62.6667,135.6,75.9,48,39,3.53,scattered clouds,Apel'sin
178,Himeji,34.8167,134.7,80.53,87,100,20.6,overcast clouds,Hotel Nikko Himeji
180,Huilong,31.8111,121.655,85.03,81,100,13.67,overcast clouds,Hilton Garden Inn Qidong
182,Georgetown,5.4112,100.3354,82.89,87,20,1.01,few clouds,Cititel Penang
185,Bethel,41.3712,-73.414,83.71,73,0,4.74,clear sky,Courtyard by Marriott Danbury
187,Mindelo,16.8901,-24.9804,76.55,69,20,19.57,few clouds,Hotel Gaudi
193,Carutapera,-1.195,-46.02,78.24,89,100,7.63,overcast clouds,Lidera
194,Gauripur,26.0835,89.9616,80.22,89,100,7.0,overcast clouds,P B College Boys Hostel
205,Cayenne,4.9333,-52.3333,79.09,84,0,2.3,clear sky,Hôtel Le Dronmi
208,Lae,-6.7221,146.9847,85.57,59,88,3.33,overcast clouds,Phils Hotel
211,Kousseri,12.0769,15.0306,76.96,88,40,4.61,scattered clouds,Le Pilotis
213,Eirunepe,-6.6603,-69.8736,79.99,46,25,2.42,scattered clouds,Atrás de você
215,Lompoc,34.6391,-120.4579,86.11,70,1,13.8,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
218,Barhi,23.9,80.8,75.54,90,100,7.56,overcast clouds,"Govt , st senior boys hostel Barhi"
226,Daru,-9.0763,143.2092,78.98,89,83,13.91,broken clouds,Daru Lodge
229,Victoria,22.2855,114.1577,87.96,83,83,7.27,broken clouds,Mini Hotel Central
231,Jalu,29.0331,21.5482,85.35,46,0,13.18,clear sky,صاحبة الفخامة
233,Eyl,7.9803,49.8164,75.36,82,71,16.13,broken clouds,Amiin Hotel
239,Krasnyy Yar,46.5331,48.3456,78.73,54,100,16.69,overcast clouds,Cottege near Ufa
240,Monrovia,6.3005,-10.7969,76.77,87,100,13.58,moderate rain,Sunset Inn
241,Naze,28.3667,129.4833,79.72,84,100,18.52,overcast clouds,Amami Port Tower Hotel
242,Zabid,14.1951,43.3152,88.83,62,93,0.49,overcast clouds,دار الضيافة
249,Sola,-13.8833,167.55,77.67,89,90,11.5,overcast clouds,Leumerus Bungalows
255,Maryville,35.7565,-83.9705,84.49,74,98,3.4,overcast clouds,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
256,Douglas,41.3,-96.167,81.46,55,1,1.99,clear sky,Hilton Garden Inn Omaha West
259,Aksu,41.1231,80.2644,75.36,39,24,4.68,few clouds,Pudong Holiday Hotel
261,Hazel Crest,41.5717,-87.6945,77.95,76,1,1.99,clear sky,Best Western Chicago Southland
