,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Kaa-Khem,51.6833,94.7333,67.17,55,3,2.13,clear sky
1,Abu Samrah,35.3029,37.1841,77.02,58,0,6.38,clear sky
2,Faanui,-16.4833,-151.75,78.96,66,6,14.14,clear sky
3,Lagoa,39.05,-27.9833,72.9,82,7,17.6,clear sky
4,Busselton,-33.65,115.3333,54.88,79,100,5.91,overcast clouds
5,Pisco,-13.7,-76.2167,61.02,82,0,9.22,clear sky
6,Oxelosund,58.6706,17.1015,55.78,94,0,3.44,clear sky
7,Mar Del Plata,-38.0023,-57.5575,41.02,87,0,5.75,clear sky
8,Ushuaia,-54.8,-68.3,44.26,81,90,34.52,moderate rain
9,Saskylakh,71.9167,114.0833,45.91,78,100,10.78,overcast clouds
10,Yellowknife,62.456,-114.3525,66.72,55,75,6.91,broken clouds
11,Humboldt,40.6665,-123.9178,72.61,30,32,4.68,scattered clouds
12,Punta Arenas,-53.15,-70.9167,44.71,76,0,39.12,clear sky
13,Port Blair,11.6667,92.75,77.04,88,75,13.8,broken clouds
14,Khatanga,71.9667,102.5,47.46,77,100,7.78,overcast clouds
15,Butaritari,3.0707,172.7902,81.75,77,30,7.83,light rain
16,Acapulco,16.8634,-99.8901,85.82,74,40,8.05,scattered clouds
17,Rikitea,-23.1203,-134.9692,74.44,82,6,14.74,light rain
18,Longonjo,-12.9067,15.2533,57.97,30,0,0.18,clear sky
19,Ust-Tsilma,65.441,52.1498,59.5,99,100,5.1,overcast clouds
20,Prieska,-29.6641,22.7474,39.2,76,22,13.96,few clouds
21,Jacareacanga,-6.2222,-57.7528,85.03,34,100,1.43,overcast clouds
22,Zhezkazgan,47.8043,67.7144,60.46,65,100,18.75,overcast clouds
23,Esmeralda,21.8525,-78.1169,83.44,79,1,6.6,clear sky
24,Saint George,37.1041,-113.5841,100.99,22,1,5.01,clear sky
25,Avarua,-21.2078,-159.775,69.85,88,75,12.66,moderate rain
26,Camapua,-19.5314,-54.0439,74.05,47,1,6.42,clear sky
27,Padang,-0.9492,100.3543,75.25,83,87,2.77,overcast clouds
28,Sao Paulo De Olivenca,-3.3783,-68.8725,73.13,97,70,3.04,broken clouds
